location_id,city,neighbourhood,country,region,type,expected_class,lat,lon
96,Bengaluru,HSR Layout Sector 1,India,Karnataka,B,Medium,12.9231694,77.6516854
97,Bengaluru,BTM Layout 2nd Stage,India,Karnataka,B,Medium,12.9140082,77.607945
98,Bengaluru,Marathahalli Junction,India,Karnataka,B,Medium,12.9552572,77.6984163
99,Bengaluru,JP Nagar 7th Phase Market,India,Karnataka,B,Medium,12.9118423,77.5870665
100,Bengaluru,Bellandur Junction,India,Karnataka,B,Medium,12.9320495,77.6842915
101,Bengaluru,Hebbal Lake Road,India,Karnataka,B,Medium,13.0472025,77.5867147
102,Bengaluru,Jayanagar 9th Block,India,Karnataka,B,Medium,12.9189992,77.5921272
103,Bengaluru,Bannerghatta Road Market,India,Karnataka,B,Medium,12.9060737,77.6016519
104,Bengaluru,Yeshwanthpur Market,India,Karnataka,B,Medium,13.0206082,77.5545653
105,Bengaluru,Hennur Road Junction,India,Karnataka,B,Medium,13.0351224,77.631944
106,Bengaluru,Kengeri Market,India,Karnataka,B,Medium,12.9176571,77.4837568
107,Bengaluru,Electronic City Phase 1,India,Karnataka,C,Low,12.8496783,77.6649749
108,Bengaluru,Whitefield IT Park,India,Karnataka,C,Low,12.9957428,77.7579489
109,Bengaluru,Sarjapur Residential,India,Karnataka,C,Low,12.9116225,77.6388622
110,Bengaluru,Banashankari 3rd Stage,India,Karnataka,C,Low,12.9315578,77.5479272
111,Bengaluru,Yelahanka New Town,India,Karnataka,C,Low,13.0978039,77.5811889
112,Bengaluru,Devanahalli Residential,India,Karnataka,C,Low,13.2483502,77.7134377
113,Bengaluru,Bagaluru IT Corridor,India,Karnataka,C,Low,13.1403482,77.671269
114,Bengaluru,Jigani Industrial Area,India,Karnataka,C,Low,12.7791307,77.6313477
115,Bengaluru,KIADB Bommasandra,India,Karnataka,C,Low,12.7836552,77.7461411
116,Bengaluru,Kadugodi Residential,India,Karnataka,C,Low,12.9957428,77.7579489
117,Bengaluru,Hoskote Residential,India,Karnataka,C,Low,13.0318443,77.7618779
118,Bengaluru,Nandi Hills Residential,India,Karnataka,C,Low,13.5379282,77.7324372
119,Bengaluru,Manyata Tech Park,India,Karnataka,C,Low,13.0482891,77.6211004
120,Bengaluru,Outer Ring Road IT Corridor,India,Karnataka,C,Low,12.9217999,77.5603137
121,Bengaluru,Prestige Tech Park Area,India,Karnataka,C,Low,12.9422716,77.6935966
122,Pune,FC Road Fergusson College Road,India,Maharashtra,A,High,18.5150117,73.8422183
123,Pune,Camp Area MG Road,India,Maharashtra,A,High,18.5216239,73.8717527
124,Pune,Deccan Gymkhana,India,Maharashtra,A,High,18.5158926,73.84116
125,Pune,Appa Balwant Chowk Book Market,India,Maharashtra,A,High,18.5164669,73.8531111
126,Pune,Laxmi Road Narayan Peth,India,Maharashtra,A,High,18.5153491,73.8687707
127,Pune,Mandai Kasba Peth,India,Maharashtra,A,High,18.5123544,73.8570331
128,Pune,Sahakarnagar Market,India,Maharashtra,A,High,18.4695025,73.8309667
129,Pune,Koregaon Park Road 1,India,Maharashtra,B,Medium,18.5366225,73.8932738
130,Pune,Aundh Main Market,India,Maharashtra,B,Medium,18.5725417,73.8069974
131,Pune,Viman Nagar Market,India,Maharashtra,B,Medium,18.5703877,73.9133336
132,Pune,Baner Road Market,India,Maharashtra,B,Medium,18.5630502,73.7835178
133,Pune,Kalyani Nagar,India,Maharashtra,B,Medium,18.5481382,73.9025513
134,Pune,Pimple Saudagar Market,India,Maharashtra,B,Medium,18.5981553,73.7977661
135,Pune,Hadapsar Market,India,Maharashtra,B,Medium,18.5007741,73.9379146
136,Pune,Kothrud Main Market,India,Maharashtra,B,Medium,18.5072618,73.8056676
137,Pune,Chinchwad Station Area,India,Maharashtra,B,Medium,18.6403548,73.7917128
138,Pune,Wakad Market,India,Maharashtra,B,Medium,18.6022495,73.7644454
139,Pune,Katraj Main Road,India,Maharashtra,B,Medium,18.4536792,73.8563196
140,Pune,Kothrud Residential Sector,India,Maharashtra,C,Low,18.5072618,73.8056676
141,Pune,Hinjewadi IT Park Phase 1,India,Maharashtra,C,Low,18.5213738,73.8545071
142,Pune,Hinjewadi IT Park Phase 2,India,Maharashtra,C,Low,18.5213738,73.8545071
143,Pune,Magarpatta Cyber City,India,Maharashtra,C,Low,18.5111545,73.9273823
144,Pune,Pimpri Industrial Area,India,Maharashtra,C,Low,18.6231854,73.8019932
145,Pune,MIDC Bhosari Industrial,India,Maharashtra,C,Low,18.638365,73.8322434
146,Pune,Ambegaon Residential,India,Maharashtra,C,Low,19.0316936,73.9500301
147,Pune,Sus Residential,India,Maharashtra,C,Low,18.5536672,73.752727
148,Pune,Undri Residential,India,Maharashtra,C,Low,18.4516288,73.8927589
149,Pune,Wagholi Residential,India,Maharashtra,C,Low,18.5806299,73.9833099
150,Pune,Bavdhan Residential,India,Maharashtra,C,Low,18.5209541,73.7780873
151,Pune,Pirangut Residential,India,Maharashtra,C,Low,18.5112818,73.6790069
152,Pune,Ravet Residential,India,Maharashtra,C,Low,18.643269,73.7450557
153,Pune,Talegaon Industrial Dabhade,India,Maharashtra,C,Low,18.6774246,74.1305811
154,Hyderabad,Charminar Area,India,Telangana,A,High,17.3616024,78.4746421
155,Hyderabad,Laad Bazaar,India,Telangana,A,High,17.3625085,78.4729754
156,Hyderabad,Abids Commercial Area,India,Telangana,A,High,17.3894783,78.477182
157,Hyderabad,Koti Market,India,Telangana,A,High,17.3847309,78.4836642
158,Hyderabad,Banjara Hills Road 12,India,Telangana,A,High,17.4119907,78.4359125
159,Hyderabad,Jubilee Hills Check Post,India,Telangana,A,High,17.4357487,78.4204287
160,Hyderabad,Himayatnagar Market,India,Telangana,A,High,17.4039821,78.4881942
161,Hyderabad,Old City Mozamjahi Market,India,Telangana,A,High,17.4033145,78.4086572
162,Hyderabad,Secunderabad Station Area,India,Telangana,B,Medium,17.4338591,78.502051
163,Hyderabad,Ameerpet Junction,India,Telangana,B,Medium,17.4375012,78.4482505
164,Hyderabad,Dilsukhnagar Market,India,Telangana,B,Medium,17.3684307,78.5234283
165,Hyderabad,LB Nagar Market,India,Telangana,B,Medium,17.3501617,78.5510938
166,Hyderabad,Kukatpally Market,India,Telangana,B,Medium,17.4930841,78.4054408
167,Hyderabad,SR Nagar Market,India,Telangana,B,Medium,17.4452312,78.4449117
168,Hyderabad,Miyapur Junction,India,Telangana,B,Medium,17.4981608,78.3567628
169,Hyderabad,Kompally Market,India,Telangana,B,Medium,17.5354868,78.5096979
170,Hyderabad,Uppal Market,India,Telangana,B,Medium,17.4027262,78.5710309
171,Hyderabad,Hi-Tech City,India,Telangana,C,Low,17.4324633,78.3754773
172,Hyderabad,Madhapur Residential,India,Telangana,C,Low,17.4408924,78.3916304
173,Hyderabad,Gachibowli Residential,India,Telangana,C,Low,17.4436222,78.3519638
174,Hyderabad,Financial District Nanakramguda,India,Telangana,C,Low,17.4042541,78.3305213
175,Hyderabad,Kokapet SEZ,India,Telangana,C,Low,17.4042541,78.3305213
176,Hyderabad,Rajendranagar Residential,India,Telangana,C,Low,17.3346211,78.40868
177,Hyderabad,Narsingi Residential,India,Telangana,C,Low,17.360589,78.4740613
178,Hyderabad,IDA Nacharam Industrial,India,Telangana,C,Low,17.3996897,78.5555074
179,Hyderabad,Patancheru Industrial Area,India,Telangana,C,Low,17.5286092,78.2674254
180,Hyderabad,Shamshabad Residential,India,Telangana,C,Low,17.257207,78.3451039
181,Hyderabad,Bachupally Residential,India,Telangana,C,Low,17.536648,78.3644736
182,Hyderabad,Kondapur Residential,India,Telangana,C,Low,17.4587912,78.3730556
183,Hyderabad,Tellapur Residential,India,Telangana,C,Low,17.4745821,78.2991398
184,Hyderabad,Adibatla IT Zone,India,Telangana,C,Low,17.360589,78.4740613
185,Hyderabad,Shamirpet Residential,India,Telangana,C,Low,17.6618453,78.6030577
186,Chennai,T Nagar Pondy Bazaar,India,Tamil Nadu,A,High,13.0407738,80.2376491
187,Chennai,Mylapore Tank Area,India,Tamil Nadu,A,High,13.0338433,80.2678513
188,Chennai,Nungambakkam High Road,India,Tamil Nadu,A,High,13.0621017,80.2452865
189,Chennai,Parry's Corner,India,Tamil Nadu,A,High,13.215974,80.3240165
190,Chennai,Purasaiwakkam Market,India,Tamil Nadu,A,High,13.0836939,80.270186
191,Chennai,Sowcarpet,India,Tamil Nadu,A,High,13.0884967,80.2783092
192,Chennai,Triplicane Market,India,Tamil Nadu,A,High,13.0604285,80.2750704
193,Chennai,Anna Nagar Tower Park,India,Tamil Nadu,B,Medium,13.0865345,80.2142503
194,Chennai,Velachery Main Road,India,Tamil Nadu,B,Medium,12.9912366,80.2198356
195,Chennai,Adyar Main Road,India,Tamil Nadu,B,Medium,13.0077889,80.2210455
196,Chennai,Tambaram West Market,India,Tamil Nadu,B,Medium,12.9256549,80.10437
197,Chennai,Chromepet Market,India,Tamil Nadu,B,Medium,12.9575007,80.1435066
198,Chennai,Porur Junction,India,Tamil Nadu,B,Medium,13.0348357,80.1559987
199,Chennai,Sholinganallur Market,India,Tamil Nadu,B,Medium,12.9174426,80.2164902
200,Chennai,Mogappair West Market,India,Tamil Nadu,B,Medium,13.0825352,80.1709175
201,Chennai,Avadi Market,India,Tamil Nadu,B,Medium,13.0274366,80.1724209
202,Chennai,Perambur Market,India,Tamil Nadu,B,Medium,13.1121242,80.245022
203,Chennai,OMR IT Corridor Perungudi,India,Tamil Nadu,C,Low,13.0031464,80.2475143
204,Chennai,Tidel Park IT Area,India,Tamil Nadu,C,Low,12.9895935,80.2488721
205,Chennai,SIPCOT IT Park Siruseri,India,Tamil Nadu,C,Low,13.0670487,80.2433599
206,Chennai,Sholinganallur IT Hub,India,Tamil Nadu,C,Low,12.9174426,80.2164902
207,Chennai,Radial Road Residential,India,Tamil Nadu,C,Low,12.9131978,80.1915965
208,Chennai,Medavakkam Residential,India,Tamil Nadu,C,Low,12.9229928,80.1882897
209,Chennai,Poonamallee Residential,India,Tamil Nadu,C,Low,13.0770176,80.2074711
210,Chennai,Manali Industrial Area,India,Tamil Nadu,C,Low,13.1520036,80.2723858
211,Chennai,MEPZ Special Economic Zone,India,Tamil Nadu,C,Low,13.0836939,80.270186
212,Chennai,Ambattur Industrial Estate,India,Tamil Nadu,C,Low,13.0922855,80.1675492
213,Chennai,Perungalathur Residential,India,Tamil Nadu,C,Low,12.9256549,80.10437
214,Kolkata,Park Street Chowringhee,India,West Bengal,A,High,22.5548915,88.3502179
215,Kolkata,New Market Esplanade Area,India,West Bengal,A,High,22.5627183,88.3541137
216,Kolkata,Gariahat Market,India,West Bengal,A,High,22.5195199,88.3659278
217,Kolkata,Shyambazar Five Point Crossing,India,West Bengal,A,High,22.601335,88.3724974
218,Kolkata,Hatibagan Market,India,West Bengal,A,High,22.5949572,88.3709282
219,Kolkata,Burrabazar,India,West Bengal,A,High,22.5819912,88.3541695
220,Kolkata,College Street Book Market,India,West Bengal,A,High,22.5672157,88.3601335
221,Kolkata,Lake Town Market,India,West Bengal,B,Medium,22.6057276,88.4029611
222,Kolkata,Jadavpur Market,India,West Bengal,B,Medium,22.4964153,88.3694109
223,Kolkata,Dum Dum Market,India,West Bengal,B,Medium,22.6520597,88.4360417
224,Kolkata,Tollygunge Market,India,West Bengal,B,Medium,22.5077549,88.3477217
225,Kolkata,Behala Market,India,West Bengal,B,Medium,22.5001529,88.3174874
226,Kolkata,Barasat Market,India,West Bengal,B,Medium,22.7191072,88.4826229
227,Kolkata,Howrah Station Area,India,West Bengal,B,Medium,22.5833648,88.3403452
228,Kolkata,Baruipur Market,India,West Bengal,B,Medium,22.3607154,88.4325575
229,Kolkata,Salt Lake Sector V IT,India,West Bengal,C,Low,22.5809434,88.4290872
230,Kolkata,Rajarhat Newtown Sector 1,India,West Bengal,C,Low,22.6292554,88.486097
231,Kolkata,Rajarhat Newtown Action Area,India,West Bengal,C,Low,22.6292554,88.486097
232,Kolkata,Bantala Industrial Area,India,West Bengal,C,Low,22.5329995,88.3964191
233,Kolkata,Falta SEZ Industrial,India,West Bengal,C,Low,22.5726459,88.3638953
234,Kolkata,New Town Eco Park Area,India,West Bengal,C,Low,22.6289154,88.4594347
235,Kolkata,Joka Residential,India,West Bengal,C,Low,22.4440967,88.3017146
236,Kolkata,Uttarpara Industrial Howarh,India,West Bengal,C,Low,22.6670459,88.3411458
237,Ahmedabad,Law Garden Area,India,Gujarat,A,High,23.0263944,72.5610565
238,Ahmedabad,CG Road,India,Gujarat,A,High,23.026011,72.5567179
239,Ahmedabad,Manek Chowk Old City,India,Gujarat,A,High,23.0231798,72.5889516
240,Ahmedabad,Raipur Gate Pols,India,Gujarat,A,High,23.0174361,72.5947812
241,Ahmedabad,Kalupur Market,India,Gujarat,A,High,23.0263312,72.601
242,Ahmedabad,Maninagar Market,India,Gujarat,B,Medium,22.9986596,72.6114013
243,Ahmedabad,Satellite Road Junction,India,Gujarat,B,Medium,23.0272347,72.5071124
244,Ahmedabad,Navrangpura Market,India,Gujarat,B,Medium,23.034596,72.5602621
245,Ahmedabad,Chandkheda Market,India,Gujarat,B,Medium,23.1100643,72.5811205
246,Ahmedabad,Bopal Market,India,Gujarat,B,Medium,23.0307489,72.4718735
247,Ahmedabad,Gota Market,India,Gujarat,B,Medium,23.1010002,72.5408363
248,Ahmedabad,Vatva Industrial Area,India,Gujarat,B,Medium,22.9556699,72.6367492
249,Ahmedabad,Naroda Market,India,Gujarat,B,Medium,23.0854097,72.6580946
250,Ahmedabad,GIFT City Gandhinagar,India,Gujarat,C,Low,23.0215374,72.5800568
251,Ahmedabad,Sanand Industrial Area,India,Gujarat,C,Low,23.0015941,72.2595567
252,Ahmedabad,Bavla Industrial GIDC,India,Gujarat,C,Low,22.8278859,72.3684741
253,Ahmedabad,Narol Industrial Area,India,Gujarat,C,Low,22.9729765,72.5895984
254,Ahmedabad,SG Highway Residential Corridor,India,Gujarat,C,Low,23.1141806,72.5363076
255,Ahmedabad,Shela Residential,India,Gujarat,C,Low,23.0108213,72.4427119
256,Ahmedabad,Thaltej Residential,India,Gujarat,C,Low,23.0485393,72.511742
257,Ahmedabad,Motera Residential,India,Gujarat,C,Low,23.0917717,72.5973345
258,Ahmedabad,Tragad Residential,India,Gujarat,C,Low,23.1283467,72.558657
259,Jaipur,MI Road,India,Rajasthan,A,High,26.9160258,75.8015394
260,Jaipur,Johri Bazaar,India,Rajasthan,A,High,26.9185848,75.8264162
261,Jaipur,Bapu Bazaar,India,Rajasthan,A,High,26.9164643,75.8227753
262,Jaipur,Tripolia Bazaar,India,Rajasthan,A,High,26.9238788,75.8226351
263,Jaipur,Chaura Rasta,India,Rajasthan,A,High,26.9198815,75.8216506
264,Jaipur,Malviya Nagar Market,India,Rajasthan,B,Medium,26.8593668,75.8098088
265,Jaipur,Mansarovar Market,India,Rajasthan,B,Medium,26.859618,75.75361
266,Jaipur,Sitapura Road Market,India,Rajasthan,B,Medium,26.7789586,75.8393877
267,Jaipur,Tonk Road Market,India,Rajasthan,B,Medium,26.8559199,75.7949644
268,Jaipur,Ajmer Road Market,India,Rajasthan,B,Medium,26.8920799,75.7435805
269,Jaipur,Jagatpura Market,India,Rajasthan,B,Medium,26.8335777,75.8273041
270,Jaipur,Vaishali Nagar Residential,India,Rajasthan,C,Low,26.9095703,75.7391732
271,Jaipur,Pratap Nagar Residential,India,Rajasthan,C,Low,26.8066363,75.827838
272,Jaipur,Sanganer Industrial,India,Rajasthan,C,Low,26.8146217,75.7731874
273,Jaipur,Sitapura Industrial Area,India,Rajasthan,C,Low,26.776503,75.8354684
274,Jaipur,RIICO Bindayaka Industrial,India,Rajasthan,C,Low,26.8076783,75.5698871
275,Jaipur,Jawahar Nagar Residential,India,Rajasthan,C,Low,26.8930427,75.8361965
276,Jaipur,Shyam Nagar Residential,India,Rajasthan,C,Low,26.8964768,75.7706279
277,Jaipur,Chitrakoot Residential,India,Rajasthan,C,Low,26.9014106,75.7377841
278,Jaipur,Kalwar Road Residential,India,Rajasthan,C,Low,26.9437399,75.7525074
279,Lucknow,Hazratganj,India,Uttar Pradesh,A,High,26.8475285,80.9432003
280,Lucknow,Aminabad Market,India,Uttar Pradesh,A,High,26.846801,80.9263735
281,Lucknow,Chowk Old City,India,Uttar Pradesh,A,High,26.8677148,80.9042142
282,Lucknow,Naza Abad Market,India,Uttar Pradesh,A,High,26.8381,80.9346001
283,Lucknow,Alambagh Market,India,Uttar Pradesh,B,Medium,26.8140101,80.9025123
284,Lucknow,Aliganj Market,India,Uttar Pradesh,B,Medium,26.90515,80.9479913
285,Lucknow,Indira Nagar Market,India,Uttar Pradesh,B,Medium,26.8823182,80.9900344
286,Lucknow,Rajajipuram Market,India,Uttar Pradesh,B,Medium,26.8412157,80.8530276
287,Lucknow,Vikas Nagar Market,India,Uttar Pradesh,B,Medium,26.8915907,80.9606943
288,Lucknow,Nishatganj Market,India,Uttar Pradesh,B,Medium,26.8631861,80.9625853
289,Lucknow,Gomti Nagar Extension Residential,India,Uttar Pradesh,C,Low,26.8611743,81.0039196
290,Lucknow,Vrindavan Yojana Residential,India,Uttar Pradesh,C,Low,26.7634365,80.9635685
291,Lucknow,Sultanpur Road IT Corridor,India,Uttar Pradesh,C,Low,26.8053934,80.9935175
292,Lucknow,PICUP Industrial Area,India,Uttar Pradesh,C,Low,26.8679327,80.9968032
293,Lucknow,Amar Shaheed Path Residential,India,Uttar Pradesh,C,Low,26.8920082,80.9747252
294,Lucknow,Jankipuram Residential,India,Uttar Pradesh,C,Low,26.9326839,80.9396394
295,Lucknow,Indiranagar Residential only,India,Uttar Pradesh,C,Low,26.8381,80.9346001
296,Lucknow,Chinhat Industrial Area,India,Uttar Pradesh,C,Low,26.8751435,81.0355588
297,Chandigarh,Sector 17 Plaza,India,Punjab,A,High,30.7400652,76.7825889
298,Chandigarh,Sector 22 Market,India,Punjab,A,High,30.7231692,76.7785905
299,Chandigarh,Sector 34 Market,India,Punjab,A,High,30.7199236,76.7652082
300,Chandigarh,Sector 8 Market,India,Punjab,B,Medium,30.7370233,76.7492502
301,Chandigarh,Sector 11 Market,India,Punjab,B,Medium,30.7231692,76.7785905
302,Chandigarh,Sector 26 Grain Market,India,Punjab,B,Medium,30.7300088,76.8091117
303,Chandigarh,Sector 43 Market,India,Punjab,B,Medium,30.7190935,76.7487931
304,Chandigarh,Manimajra Market,India,Punjab,B,Medium,30.7127455,76.832944
305,Chandigarh,IT Park Road Mohali,India,Punjab,B,Medium,30.7674667,76.7859218
306,Chandigarh,Sector 22 Residential,India,Punjab,C,Low,30.7251123,76.7854183
307,Chandigarh,Sector 20 Residential,India,Punjab,C,Low,30.7251123,76.7854183
308,Chandigarh,IT Park Chandigarh,India,Punjab,C,Low,30.7674667,76.7859218
309,Chandigarh,Aerocity Mohali,India,Punjab,C,Low,30.7334421,76.7797143
310,Chandigarh,Zirakpur Residential,India,Punjab,C,Low,30.62546,76.8235499
311,Chandigarh,Kharar Residential,India,Punjab,C,Low,30.7498142,76.6412239
312,Indore,MG Road Indore,India,Madhya Pradesh,B,Medium,22.7203616,75.8681996
